Trek_Name,District,Difficulty,Height_m,Best_Season,Historical_Significance,Description
"Udgir Fort","Latur","Easy",580,"Oct-Mar","Site of the Battle of Udgir (1760) where Marathas defeated the Nizam of Hyderabad.","A large land fort with thick walls and bastions set in the Marathwada landscape. Easy exploration with significant military history."
"Underi","Raigad","Easy",0,"Oct-Mar","A sea fort built by Shivaji Maharaj near the Karanja coast to counter Janjira.","A small island fort accessible by boat with surviving walls and bastions. The naval strategy behind its construction parallels Padmadurg."
"Vaghera Fort","Nashik","Moderate",800,"Oct-Feb","A small Maratha fort used for defense of the Nashik hinterland region.","A moderate climb through scrubland to a compact hilltop with partial ruins. Quiet trek with views of the Nashik plateau."
"Vairagad Fort","Kolhapur","Moderate",750,"Oct-Feb","A Maratha fort near Kolhapur used for protecting southern territory.","A moderate trek through farm and scrubland to a hilltop with cisterns and walls. Pastoral Kolhapur countryside visible all around."
"Vairatgad Fort","Satara","Moderate",1000,"Oct-Feb","A Maratha hill fort in the Satara range near the Koyna Valley.","A moderate trek through lush terrain to a fortified summit. The Koyna valley views from the top are dramatic and scenic."
"Vajragad","Pune","Easy",900,"Oct-Feb","The twin companion fort to Purandar; together they formed a major Maratha defense system.","An easy companion trek from Purandar Fort along a connecting ridge. The smaller fort offers intimate views and a quieter atmosphere."
"Vandan Fort","Satara","Moderate",850,"Oct-Feb","A Maratha fort near Satara used for regional defense and communication.","A moderate hike through rolling grassland to a hilltop with ruins and cisterns. Pleasant Satara countryside views."
"Vardhangad Fort","Kolhapur","Moderate",900,"Oct-Feb","A Maratha fort near Panhala supporting the defense network of southern Swarajya.","A moderate forest trek to a hilltop with well-preserved walls and water tanks. The green Kolhapur landscape is visible all around."
"Varugad","Sindhudurg","Moderate",600,"Oct-Feb","A Maratha fort in the southern Konkan used for monitoring trade routes.","A moderate trek through tropical forest to a summit with partial ruins. Konkan coastal views on clear days."
"Vasai Fort/Bassein Fort","Palghar","Easy",30,"Year-round","A magnificent Portuguese colonial fort captured by Chimaji Appa for the Marathas in 1739.","One of the most impressive Portuguese fort ruins in India with massive churches and gateways. The European gothic architecture amidst Indian soil creates a hauntingly beautiful atmosphere."
"Vasantgad","Satara","Moderate",900,"Oct-Feb","A Maratha fort near Satara used for defense of the central Satara region.","A moderate climb through rolling terrain to a hilltop with fort remnants. The Satara valley panorama is scenic."
"Vasota Fort/Vyaghragad","Satara","Moderate",1171,"Oct-Feb","A remote Maratha fort accessible only by boat across Shivsagar Lake — named Tiger Fort by Shivaji Maharaj.","One of the most scenic treks involving a boat ride across the stunning Koyna backwaters. The fort sits deep in the Koyna Wildlife Sanctuary amid pristine jungle."
"Vijaydurg Fort","Sindhudurg","Easy",0,"Year-round","One of the strongest coastal forts in India; Shivaji Maharaj expanded it significantly for naval operations.","A massive sea fort with triple-layered walls and 27 bastions projecting into the Arabian Sea. The underground tunnels and rock-cut docks showcase Maratha naval engineering brilliance."
"Vijaygad Fort","Sindhudurg","Moderate",600,"Oct-Feb","A Maratha hill fort near Malvan supporting the coastal defense in southern Konkan.","A moderate trek through cashew and coconut plantations to a summit with fort ruins. Views of the Malvan coast."
"Vikatgad","Raigad","Moderate",850,"Oct-Feb","A Maratha fort near Karjat that was part of the Bor Ghat defense network.","A moderate forest trek to a ridge summit with old walls and cisterns. Good monsoon trekking option near Mumbai."
"Virathan Fort","Satara","Moderate",900,"Oct-Feb","A Maratha fort in the Satara range used for monitoring the plateau passes.","A moderate trek to a hilltop with partial fortifications and valley views. A quiet and peaceful trek experience."
"Visapur Fort","Pune","Moderate",1084,"Monsoon","Built by the first Peshwa Balaji Vishwanath as a companion fort to Lohagad.","Famous for its cascading waterfall steps during monsoon and massive fortification walls. The summit is larger than Lohagad with sprawling ruins and ancient caves."
"Vishalgad/Khelna Fort","Kolhapur","Moderate",1130,"Oct-Feb","Site of Shivaji Maharaj's famous Pawankhind escape from Siddhi Masud's siege in 1660.","A massive fort with strong walls and the sacred Dargah of Hazrat Malik Rehan at the summit. The Pawankhind memorial along the trail commemorates Baji Prabhu Deshpande's sacrifice."
"Worli Fort","Mumbai","Easy",10,"Year-round","A Maratha-era fort built to protect the Worli fishing village and harbor.","A small coastal fort ruin in Worli with views of the Sea Link and the Arabian Sea. Easily accessible within Mumbai as a quick heritage walk."
"Yashwantgad Fort","Sindhudurg","Easy",100,"Oct-Mar","A Maratha coastal fort near Vengurla built for protecting the southernmost Konkan coast.","A small seaside fort with bastions overlooking the Arabian Sea near the Goa border. Easy access and great for combining with a Vengurla beach trip."
